NOTE | note_cho_vay_khong_co_lai | N/A | Cho vay không có lãi
NOTE | note_phai_thu_dai_han_khac_1 | N/A | Phải thu dài hạn khác
NOTE | note_nguyen_gia_tscdhh | N/A | Nguyên giá TSCĐHH
NOTE | note_nguyen_gia_dau_ky | N/A | Nguyên giá đầu kỳ
NOTE | note_tang_trong_ky | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky | N/A | Giảm trong kỳ
NOTE | note_hao_mon_tscdhh | N/A | Hao mòn TSCĐHH
NOTE | note_dau_ky | N/A | Đầu kỳ
NOTE | note_tang_trong_ky_1 | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky_1 | N/A | Giảm trong kỳ
NOTE | note_nguyen_gia_tscd_ttc | N/A | Nguyên giá TSCĐ TTC
NOTE | note_nguyen_gia_dau_ky_1 | N/A | Nguyên giá đầu kỳ
NOTE | note_tang_trong_ky_2 | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky_2 | N/A | Giảm trong kỳ
NOTE | note_hao_mon_tscd_ttc | N/A | Hao mòn TSCĐ TTC
NOTE | note_dau_ky_1 | N/A | Đầu kỳ
NOTE | note_tang_trong_ky_3 | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky_3 | N/A | Giảm trong kỳ
NOTE | note_nguyen_gia_tscdvh | N/A | Nguyên giá TSCĐVH
NOTE | note_nguyen_gia_dau_ky_2 | N/A | Nguyên giá đầu kỳ
NOTE | note_tang_trong_ky_4 | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky_4 | N/A | Giảm trong kỳ
NOTE | note_hao_mon_tscdvh | N/A | Hao mòn TSCĐVH
NOTE | note_dau_ky_2 | N/A | Đầu kỳ
NOTE | note_tang_trong_ky_5 | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky_5 | N/A | Giảm trong kỳ
NOTE | note_dau_tu_dai_han_khac | N/A | Đầu tư dài hạn khác
NOTE | note_dau_tu_co_phieu | N/A | Đầu tư cổ phiếu
NOTE | note_dau_tu_trai_phieu | N/A | Đầu tư trái phiếu
NOTE | note_dau_tu_tin_phieu_ky_phieu | N/A | Đầu tư tín phiếu, kỳ phiếu
NOTE | note_cho_vay_dai_han | N/A | Cho vay dài hạn
NOTE | note_dau_tu_dai_han_khac_1 | N/A | Đầu tư dài hạn khác
NOTE | note_vay_va_no_ngan_han | N/A | Vay và nợ ngắn hạn
NOTE | note_vay_ngan_han | N/A | Vay ngắn hạn
NOTE | note_vay_dai_han_den_han_tra | N/A | Vay dài hạn đến hạn trả
NOTE | note_gia_goc_loi_the_thuong_mai | N/A | Giá gốc Lợi thế thương mại
NOTE | note_so_du_dau_ky | N/A | Số dư đầu kỳ
NOTE | note_tang_trong_ky_6 | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky_6 | N/A | Giảm trong kỳ
NOTE | note_phan_bo_luy_ke | N/A | Phân bổ Lũy kế
NOTE | note_so_du_dau_ky_1 | N/A | Số dư đầu kỳ
NOTE | note_tang_trong_ky_7 | N/A | Tăng trong kỳ
NOTE | note_giam_trong_ky_7 | N/A | Giảm trong kỳ
NOTE | note_cac_khoan_phai_tra_ve_thue | N/A | Các khoản phải trả về Thuế
NOTE | note_thue_gtgt | N/A | Thuế GTGT
NOTE | note_thue_ttdb | N/A | Thuế TTĐB
NOTE | note_thue_xnk | N/A | Thuế XNK
NOTE | note_thue_tndn | N/A | Thuế TNDN
NOTE | note_thue_tncn | N/A | Thuế TNCN
NOTE | note_thue_tai_nguyen | N/A | Thuế Tài nguyên
NOTE | note_thue_nha_dat_va_tien_thue_dat | N/A | Thuế nhà đất và tiền thuê đất
NOTE | note_cac_loai_thue_khac | N/A | Các loại thuế khác
NOTE | note_cac_khoan_phi_le_phi_khac | N/A | Các khoản phí, lệ phí khác
NOTE | note_chi_phi_phai_tra | N/A | Chi phí phải trả
NOTE | note_trich_truoc_cp_luong_nghi_phep | N/A | Trích trước CP lương nghỉ phép
NOTE | note_chi_phi_scl_tscd | N/A | Chi phí SCL TSCĐ
NOTE | note_chi_phi_trong_thoi_gian_ngung_kd | N/A | Chi phí trong thời gian ngừng KD
NOTE | note_khac_1 | N/A | Khác
NOTE | note_phai_tra_phai_nop_khac | N/A | Phải trả phải nộp khác
NOTE | note_tai_san_thua_cho_xl | N/A | Tài sản thừa chờ XL
NOTE | note_kinh_phi_cong_doan | N/A | Kinh phí công đoàn
NOTE | note_bao_hiem_xa_hoi | N/A | Bảo hiểm xã hội
NOTE | note_bao_hiem_y_te | N/A | Bảo hiểm y tế
NOTE | note_bao_hiem_that_nghiep | N/A | Bảo hiểm thất nghiệp
NOTE | note_phai_tra_ve_cph | N/A | Phải trả về CPH
NOTE | note_nhan_ky_quy_ky_cuoc_nh | N/A | Nhận ký quỹ, ký cược NH
NOTE | note_doanh_thu_chua_thuc_hien | N/A | Doanh thu chưa thực hiện
NOTE | note_khac_2 | N/A | Khác
NOTE | note_vay_dai_han | N/A | Vay Dài hạn
NOTE | note_vay_ngan_hang | N/A | Vay ngân hàng
NOTE | note_vay_doi_tuong_khac | N/A | Vay đối tượng khác
NOTE | note_trai_phieu_phat_hanh | N/A | Trái phiếu phát hành
NOTE | note_thue_tai_chinh | N/A | Thuê tài chính
NOTE | note_no_dai_han_khac | N/A | Nợ dài hạn khác
NOTE | note_von_chu_so_huu | N/A | Vốn chủ sở hữu
NOTE | note_von_gop_cua_nha_nuoc | N/A | Vốn góp của nhà nước
NOTE | note_von_dau_tu_cua_doi_tuong_khac | N/A | Vốn đầu tư của đối tượng khác
NOTE | note_doanh_thu | N/A | Doanh thu
NOTE | note_doanh_thu_ban_hang | N/A | Doanh thu bán hàng
NOTE | note_doanh_thu_cung_cap_dich_vu | N/A | Doanh thu cung cấp dịch vụ
NOTE | note_doanh_thu_hop_dong_xay_dung | N/A | Doanh thu hợp đồng xây dựng
NOTE | note_giam_tru_doanh_thu | N/A | Giảm trừ doanh thu
NOTE | note_chiet_khau_thuong_mai | N/A | Chiết khấu thương mại
